Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Debt,Equity capital,Preference capital,Reserves,Secured loan,Unsecured loan,Balance sheet total,Gross block,Revaluation reserve,Accumulated depreciation,Net block,Capital work in progress,Investments,Current assets,Current liabilities,Book value of unquoted investments,Market value of quoted investments,Contingent liabilities,Total Assets,Working capital,Lease liabilities,Inventory,Trade receivables,Face value,Cash Equivalents,Advance from Customers,Trade Payables,Number of equity shares preceding year,Debt preceding year,Working capital preceding year,Net block preceding year,Gross block preceding year,Capital work in progress preceding year,Working capital 3Years back,Working capital 5Years back,Working capital 7Years back,Working capital 10Years back,Debt 3Years back,Debt 5Years back,Debt 7Years back,Debt 10Years back,Net block 3Years back,Net block 5Years back,Net block 7Years back,Market Capitalization,Debt to equity
Transworld Shipp,520151,TRANSWORLD,INE757B01015,Transport Services,Shipping,132.60,293.63,21.96,0.00,747.48,329.40,2.33,1135.71,1183.10,0.00,278.87,873.73,1.20,20.77,210.22,126.38,0.00,0.00,6.22,1135.71,83.84,1.95,11.99,7.07,10.00,57.61,0.00,41.33,2.20,405.24,17.98,943.52,1138.80,0.00,140.22,3.76,42.53,51.99,235.30,266.04,262.29,122.45,640.29,399.65,384.38,291.19,0.38
Travel Food,544443,TRAVELFOOD,INE103V01028,Leisure Services,Restaurants,1096.10,285.50,13.17,0.00,1171.39,0.00,333.09,2007.24,774.73,0.00,402.80,629.52,35.44,698.05,1083.08,632.68,0.01,868.47,273.44,2007.24,450.40,285.50,10.53,130.28,1.00,51.00,0.49,352.51,0.39,416.07,-154.02,386.98,717.02,22.79,-2.96,-7.99,,,42.18,20.59,,,98.71,74.73,,14433.40,0.24
Trejhara Solutio,542233,TREJHARA,INE00CA01015,IT - Software,Computers - Software & Consulting,162.80,9.71,23.51,0.00,217.69,6.80,1.47,267.15,44.11,0.00,12.02,30.65,0.00,0.00,144.74,23.87,0.00,0.00,1.69,267.15,120.87,0.90,0.00,18.91,10.00,9.51,0.00,8.36,1.45,3.86,110.91,28.31,37.24,5.85,245.88,231.17,191.16,,24.44,33.66,80.47,,1.34,2.46,4.07,382.67,0.04
Trident Techlabs,,TECHLABS,INE0QD201012,IT - Software,Computers - Software & Consulting,184.10,17.56,17.28,0.00,50.45,8.45,4.26,102.95,13.47,0.00,9.53,3.67,0.00,0.12,94.58,24.74,0.00,0.00,11.33,102.95,69.84,0.00,2.31,51.06,10.00,20.32,0.67,10.04,1.73,19.28,52.79,1.68,10.04,0.00,28.56,,,,29.60,,,,1.69,,,318.14,0.26
Triven.Engg.Ind.,532356,TRIVENI,INE256C01024,Agricultural Food & other Products,Sugar,342.95,768.09,21.89,0.00,3064.48,1969.03,11.01,4691.36,3083.34,0.00,749.17,2308.98,81.76,9.99,2006.34,963.55,0.00,6.92,40.61,4691.36,1042.79,15.41,1012.03,588.42,1.00,102.02,67.35,230.14,21.89,1423.94,1300.97,1516.56,2147.64,225.70,681.62,627.99,24.05,-133.49,1575.06,1530.10,1239.74,1472.01,1077.47,1086.54,846.63,7507.11,0.25
Triveni Turbine,533655,TRITURBINE,INE152M01016,Electrical Equipment,Heavy Electrical Equipment,434.90,38.40,31.80,0.00,1268.10,0.00,39.16,2194.60,506.62,0.00,183.43,349.00,13.50,413.00,1778.30,844.30,0.00,0.00,37.58,2194.60,934.00,38.40,243.50,443.90,1.00,196.30,264.47,333.80,31.79,3.12,223.88,282.74,440.85,1.36,139.56,138.52,178.45,47.71,2.18,1.17,0.11,13.26,246.80,246.50,225.66,13825.11,0.03
True Colors,544531,,INE1LDV01015,Industrial Manufacturing,Industrial Products,131.00,72.93,18.96,0.00,172.51,47.51,0.00,335.99,52.03,0.00,4.71,50.64,15.55,1.61,266.93,97.67,0.00,0.00,31.55,335.99,169.26,0.00,36.33,90.79,10.00,124.59,8.62,53.27,0.01,56.55,-5.77,39.74,41.02,0.00,0.65,,,,0.00,,,,0.00,,,322.96,0.37
Tsf Investments,,TSFINV,INE202Z01029,Finance,Investment Company,354.55,273.22,111.05,0.00,5799.29,0.00,16.10,6610.52,69.29,0.00,20.70,428.62,1.83,5728.29,435.32,174.04,5671.06,0.00,70.64,6610.52,261.28,15.28,165.76,190.24,5.00,64.81,0.00,104.77,22.21,17.91,193.19,39.65,47.86,0.00,26.60,27.60,15.18,,3.19,2.14,0.00,,8.98,8.86,6.15,7874.69,0.05
TTK Healthcare,507747,TTKHLTCARE,INE910C01018,Diversified,Diversified,815.00,26.83,14.13,0.00,1070.95,21.94,2.28,1295.55,183.47,4.41,102.57,78.45,0.49,12.02,1165.47,205.27,0.00,11.22,20.55,1295.55,960.20,2.26,102.13,111.54,10.00,600.89,0.79,98.30,1.41,22.81,875.78,74.81,177.87,0.79,227.98,126.20,88.10,36.91,22.21,29.84,47.49,41.71,80.27,88.65,109.53,1151.63,0.02
TTK Prestige,517506,TTKPRESTIG,INE690A01028,Consumer Durables,Household Appliances,477.40,189.45,13.69,0.00,1888.53,51.74,128.03,2686.98,1165.17,2.15,485.54,657.12,18.48,226.57,1958.22,609.71,0.00,0.00,38.37,2686.98,1348.51,122.29,686.94,376.38,1.00,537.34,18.47,359.89,13.86,179.54,1092.01,721.84,1068.42,23.76,795.88,445.08,470.05,,92.33,85.85,129.20,,596.64,572.46,489.96,6538.07,0.10
