Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Debt,Equity capital,Preference capital,Reserves,Secured loan,Unsecured loan,Balance sheet total,Gross block,Revaluation reserve,Accumulated depreciation,Net block,Capital work in progress,Investments,Current assets,Current liabilities,Book value of unquoted investments,Market value of quoted investments,Contingent liabilities,Total Assets,Working capital,Lease liabilities,Inventory,Trade receivables,Face value,Cash Equivalents,Advance from Customers,Trade Payables,Number of equity shares preceding year,Debt preceding year,Working capital preceding year,Net block preceding year,Gross block preceding year,Capital work in progress preceding year,Working capital 3Years back,Working capital 5Years back,Working capital 7Years back,Working capital 10Years back,Debt 3Years back,Debt 5Years back,Debt 7Years back,Debt 10Years back,Net block 3Years back,Net block 5Years back,Net block 7Years back,Market Capitalization,Debt to equity
Sunita Tools Ltd,544001,,INE0Q1S01010,Industrial Manufacturing,Industrial Products,925.00,7.15,6.11,0.00,44.21,3.84,0.30,72.23,10.41,0.00,0.94,9.63,9.34,1.93,43.12,15.65,1.75,0.00,0.00,72.23,27.47,0.00,20.30,14.83,10.00,1.83,0.03,11.50,0.56,7.84,22.07,6.25,6.88,0.00,-0.59,4.54,,,12.49,14.93,,,2.24,2.20,,580.94,0.14
Sunlite Recycli.,,SUNLITE,INE0U2N01013,Industrial Products,"Aluminium, Copper & Zinc Products",344.50,23.22,10.88,0.00,63.49,4.79,4.22,145.46,19.91,0.00,5.07,18.28,0.00,0.00,126.16,68.63,0.00,0.00,0.00,145.46,57.53,0.00,68.37,49.09,10.00,0.21,0.00,33.57,0.80,34.92,9.94,11.99,15.52,0.00,,,,,,,,,,,,475.61,0.31
Sunrakshakk Inds,539300,,INE671K01027,Textiles & Apparels,Other Textile Products,232.00,44.85,6.20,0.00,157.28,25.37,17.29,277.56,125.58,0.00,64.94,63.45,17.64,0.00,195.23,80.78,0.00,0.00,0.00,277.56,114.45,2.11,42.20,40.04,2.00,5.94,2.56,60.15,2.52,7.14,2.80,38.13,85.53,0.00,,,,,,,,,,,,719.36,0.27
Sunteck Realty,512179,SUNTECK,INE805D01034,Realty,"Residential, Commercial Projects",296.30,525.07,14.65,0.00,3320.41,374.01,12.93,8717.42,548.38,0.00,51.58,498.75,82.48,236.56,7634.00,5045.74,0.00,0.07,205.12,8717.42,2588.26,0.00,6371.85,174.47,1.00,63.06,109.05,233.32,14.65,374.94,2376.53,490.45,529.29,18.49,2699.19,2803.59,2444.21,1415.13,788.22,920.69,568.03,1070.63,122.50,55.20,70.48,4340.46,0.16
Supershakti Met.,541701,,INE00SY01011,Industrial Products,Iron & Steel Products,220.00,0.46,11.53,0.00,267.75,19.24,0.00,315.00,72.62,0.00,23.48,46.79,0.99,151.93,99.51,19.34,142.40,0.00,75.21,315.00,80.17,0.00,38.69,7.90,10.00,12.70,0.00,15.17,1.15,19.80,24.12,53.58,72.02,0.00,,,,,,,,,,,,253.56,0.00
Supreme Petroch.,500405,SPLPETRO,INE663A01033,Chemicals & Petrochemicals,Petrochemicals,643.60,140.29,37.61,0.00,2182.28,0.00,129.53,3282.33,1100.28,0.00,287.35,1485.76,41.38,234.90,1701.02,892.64,0.00,430.00,242.56,3282.33,808.38,140.29,831.62,269.49,2.00,342.14,12.80,757.04,18.80,114.14,532.21,768.75,1049.56,232.61,556.33,211.58,231.65,29.53,37.23,29.28,0.00,32.04,336.90,370.90,333.40,12102.33,0.06
Supreme Power,,SUPREMEPWR,INE0QHG01026,Electrical Equipment,Other Electrical Equipment,158.75,30.23,24.99,0.00,82.19,16.34,0.00,188.67,13.69,0.00,2.81,11.21,73.60,13.61,82.25,55.25,0.00,0.00,0.00,188.67,27.00,0.00,31.54,38.73,10.00,4.13,2.65,23.64,2.50,5.91,38.91,3.69,6.11,17.26,6.79,6.05,4.41,,9.70,4.21,2.97,,2.73,3.30,3.17,396.74,0.28
Supriya Lifesci.,543434,SUPRIYA,INE07RO01027,Pharmaceuticals & Biotechnology,Pharmaceuticals,566.15,5.23,16.10,0.00,1065.70,0.00,5.38,1202.96,533.85,0.00,80.98,457.51,172.50,56.55,505.05,82.87,0.00,0.00,4.17,1202.96,422.18,5.23,142.81,155.12,2.00,103.22,4.36,76.35,8.05,5.49,320.91,310.13,370.67,148.83,397.84,40.22,-26.31,,27.42,82.21,130.37,,189.77,98.57,91.01,4556.53,0.00
Suraj,531638,SURAJLTD,INE713C01016,Industrial Products,Iron & Steel Products,230.44,43.89,18.36,0.00,118.20,64.08,0.00,205.97,237.77,0.00,148.58,85.86,0.00,16.72,95.42,66.96,0.00,0.00,21.44,205.97,28.46,0.00,55.60,25.42,10.00,0.16,3.13,17.20,1.84,33.66,9.90,84.91,223.99,0.00,,,27.30,,,,112.12,,,,60.75,423.18,0.32
Suraj Products,518075,,INE069E01019,Industrial Products,Iron & Steel Products,207.00,12.85,11.40,0.00,143.52,20.10,1.03,183.40,159.41,0.00,90.44,67.56,1.19,10.51,100.01,20.29,0.00,0.00,0.53,183.40,79.72,1.07,37.87,11.28,10.00,15.26,0.25,7.62,1.14,41.17,60.97,75.16,157.98,1.11,30.99,13.14,15.12,10.49,61.39,86.51,51.05,17.93,73.64,82.27,41.35,235.98,0.08
Surya Roshni,500336,SURYAROSNI,INE335A01020,Industrial Products,Iron & Steel Products,200.75,123.58,108.80,0.00,2397.91,3.08,13.22,3446.39,1776.53,0.00,935.92,873.32,15.62,3.85,2511.21,846.19,0.00,0.00,382.19,3446.39,1665.02,15.60,1071.18,789.26,5.00,495.62,36.68,456.61,21.76,16.01,1339.77,834.66,1663.87,17.07,696.84,506.33,431.12,232.69,593.09,1090.36,1097.39,947.64,942.87,1061.12,1071.92,4369.05,0.05
Suven Life Scie.,530239,SUVEN,INE495B01038,Healthcare Services,"Healthcare Research, Analytics & Technology",128.75,0.00,22.75,0.00,258.53,0.00,0.00,337.41,113.23,0.00,53.58,58.24,0.87,246.71,278.17,54.43,0.00,0.00,6.17,337.41,223.74,0.00,0.24,1.07,1.00,10.79,0.00,5.04,21.81,0.71,167.22,28.21,78.24,0.00,13.12,39.43,169.27,349.55,3.21,6.01,33.99,108.51,37.56,24.69,307.73,3395.40,0.00
Suzlon Energy,532667,SUZLON,INE040H01021,Electrical Equipment,Heavy Electrical Equipment,40.67,397.00,2744.51,0.00,5116.28,265.39,57.78,15855.64,3706.58,0.00,1927.02,1776.41,286.31,202.10,11305.41,7024.75,0.00,0.00,236.24,15855.64,4280.66,76.62,4225.72,4854.59,2.00,701.26,0.00,4074.91,1349.13,150.24,2270.49,886.46,2672.47,19.72,784.71,-11850.62,-1644.79,-2723.20,6465.22,13209.80,11995.52,17810.96,1059.30,1358.23,1462.86,55329.19,0.05
Swadeshi Inds,506863,,INE716M01034,Industrial Products,Packaging,89.30,0.00,10.82,0.00,-2.88,0.00,0.02,13.62,0.04,0.00,0.03,3.53,0.00,0.00,10.02,5.68,0.00,0.00,0.00,13.62,4.34,0.00,0.00,0.13,10.00,0.26,0.00,1.43,1.08,0.00,4.33,3.53,3.56,0.00,3.12,2.69,3.27,1.10,0.05,0.01,0.00,0.00,3.54,3.54,3.52,206.53,0.00
Swan Corp,503310,SWANCORP,INE665A01038,Chemicals & Petrochemicals,Petrochemicals,313.40,2543.21,31.35,0.00,7365.32,1833.56,989.93,13593.35,5820.06,0.00,2085.56,3770.91,3945.11,318.48,5628.61,2507.86,0.00,0.00,1262.43,13593.35,3120.75,0.00,1662.32,1863.22,1.00,1238.40,12.04,962.65,31.35,3449.32,2745.78,4147.87,4715.77,3657.26,466.22,-350.91,272.61,289.93,4116.73,1206.29,911.62,705.49,2237.53,556.37,576.77,9823.74,0.34
Swiggy,544285,SWIGGY,INE00H001014,Retailing,E-Retail/ E-Commerce,276.95,2491.00,260.00,0.00,9565.00,0.00,1702.95,15792.00,5193.01,0.00,1562.23,4387.00,0.00,4059.00,10638.00,4020.00,271.17,829.77,0.12,15792.00,6618.00,2364.00,67.00,2895.00,1.00,1730.00,1.42,1885.00,,16437.45,901.36,2041.36,3100.17,0.00,1387.91,374.18,,,16070.75,88.80,,,800.98,1331.60,,76446.90,0.25
Symphony,517385,SYMPHONY,INE225D01027,Consumer Durables,Household Appliances,746.05,5.00,14.00,0.00,769.00,53.67,88.00,1417.00,492.66,0.00,170.78,94.00,0.00,565.00,1020.00,615.00,0.00,443.59,9.67,1417.00,405.00,5.00,125.00,4.00,2.00,20.00,122.47,77.00,6.90,169.90,97.27,326.77,492.20,0.05,140.70,22.18,112.76,4.12,254.47,210.24,25.55,0.00,354.76,318.35,81.79,5123.26,0.01
Syngene Intl.,539268,SYNGENE,INE398R01022,Healthcare Services,"Healthcare Research, Analytics & Technology",407.50,581.60,402.90,0.00,4332.00,102.50,475.40,6542.10,5307.00,0.00,2505.30,3049.00,989.20,547.30,2050.40,1191.80,275.00,335.50,1262.00,6542.10,858.60,457.20,189.30,532.30,10.00,580.00,605.20,291.40,40.20,555.20,301.60,2850.00,5011.60,838.10,213.20,-665.00,778.90,,1021.60,772.90,787.40,,2392.80,2019.70,1030.40,16419.77,0.12
Syrma SGS Tech.,543573,SYRMA,INE0DYJ01015,Industrial Manufacturing,Industrial Products,751.90,331.55,192.59,0.00,2616.59,611.18,53.43,5209.71,1362.80,0.00,218.47,1144.01,77.04,144.36,3903.43,2167.40,0.00,51.35,1.38,5209.71,1736.03,49.58,879.51,1896.56,10.00,648.87,24.22,1808.15,17.76,629.89,395.87,1075.43,1222.70,16.83,142.05,126.23,,,218.30,125.11,,,377.93,295.69,,14498.90,0.12
Syschem (India),531173,,INE121D01036,Pharmaceuticals & Biotechnology,Pharmaceuticals,44.52,0.00,43.51,0.00,51.35,0.00,0.00,182.06,84.66,0.00,31.55,51.98,10.83,0.00,117.12,79.67,0.00,0.00,50.19,182.06,37.45,0.00,41.32,69.70,10.00,4.41,0.00,76.37,3.99,0.45,29.57,30.57,59.23,4.11,-2.00,-7.53,-8.93,-4.21,1.75,17.45,20.28,27.89,31.54,27.55,28.89,218.19,0.00
Systango Tech,,SYSTANGO,INE0O7R01011,IT - Software,Computers - Software & Consulting,246.00,0.03,14.67,0.00,106.26,0.00,0.03,136.71,10.04,0.00,4.82,5.12,0.00,64.49,112.16,15.74,32.04,24.22,0.00,136.71,96.42,0.00,0.00,15.06,10.00,37.06,0.00,1.28,1.47,0.09,15.69,3.97,8.20,1.02,3.99,-0.59,,,0.22,0.00,,,1.64,0.93,,360.85,0.00
Systematix Corp.,526506,SYSTMTXC,INE356B01024,Capital Markets,Stockbroking & Allied,58.19,20.30,13.65,0.00,309.71,10.35,9.90,447.30,29.62,0.00,13.33,21.46,0.00,56.38,342.51,96.02,0.00,41.37,2.57,447.30,246.49,0.00,0.00,31.11,1.00,266.60,0.00,76.51,12.98,20.57,101.90,16.70,29.62,0.00,54.52,45.38,82.43,60.76,30.33,26.78,154.74,148.86,6.49,7.35,6.71,794.49,0.06
T N Petro Prod.,500777,TNPETRO,INE148A01019,Chemicals & Petrochemicals,Petrochemicals,81.05,323.74,89.97,0.00,887.29,120.43,14.97,1586.83,468.28,0.00,182.86,276.83,570.06,10.40,713.48,385.05,0.00,0.00,144.45,1586.83,328.43,14.98,143.35,81.17,10.00,289.76,3.60,83.11,9.00,17.99,534.31,304.21,470.08,73.03,505.82,216.10,167.27,-30.17,56.21,36.69,35.99,101.96,267.47,291.73,192.56,729.20,0.33
T R I L,532928,TARIL,INE763I01026,Electrical Equipment,Heavy Electrical Equipment,277.50,365.89,30.02,0.00,1315.18,176.24,106.56,2389.82,426.21,0.00,175.03,245.12,92.54,204.30,1751.76,937.18,1.79,0.00,17.22,2389.82,814.58,0.14,632.40,527.05,1.00,220.31,86.47,320.01,28.51,255.87,447.02,143.68,292.46,5.18,238.19,177.76,153.62,149.40,324.52,308.09,399.45,156.56,168.46,193.14,195.11,8329.61,0.27
T.V. Today Netw.,532515,TVTODAY,INE038F01029,Entertainment,TV Broadcasting & Software Production,97.50,16.74,29.83,0.00,853.63,0.00,20.65,1074.73,391.48,0.00,239.70,352.40,0.88,0.10,596.43,178.79,0.00,0.00,17.70,1074.73,417.64,16.74,0.00,239.40,5.00,93.57,8.66,61.54,5.97,33.95,665.54,193.09,468.47,3.41,901.94,562.07,296.52,156.86,31.80,20.77,0.00,6.73,227.46,244.53,258.21,581.75,0.02
TAC Infosec,,TAC,INE0SOY01013,IT - Software,Computers - Software & Consulting,420.00,0.52,10.48,0.00,57.09,1.47,0.05,79.39,14.02,0.00,1.59,16.57,0.00,0.00,62.22,6.44,0.00,0.00,0.77,79.39,55.78,0.00,0.00,20.74,10.00,26.85,0.00,0.01,1.53,1.68,10.47,0.71,1.51,1.07,,,,,,,,,,,,883.09,0.01
TajGVK Hotels,532390,TAJGVK,INE586B01026,Leisure Services,Hotels & Resorts,295.55,82.61,12.54,0.00,678.34,0.00,44.01,967.20,583.35,0.00,150.84,426.21,182.70,126.68,174.48,143.73,0.00,0.00,51.90,967.20,30.75,44.01,8.57,28.82,2.00,78.61,9.24,89.41,6.27,108.16,16.54,442.13,580.73,78.69,-48.28,-34.20,-46.87,,213.64,209.07,227.41,,408.63,435.63,426.58,1853.15,0.12
Talbros Auto.,505160,TALBROAUTO,INE187D01029,Auto Components,Auto Components & Equipments,227.10,86.01,12.35,0.00,668.99,81.42,12.40,1010.66,423.78,0.00,203.26,215.58,26.44,225.37,501.86,278.31,0.00,0.00,5.57,1010.66,223.55,9.79,136.34,277.50,2.00,55.61,5.87,183.11,6.17,98.70,101.45,212.17,387.04,7.35,56.07,10.09,5.20,25.55,89.18,153.49,124.30,132.94,157.21,153.46,127.98,1401.88,0.13
Taneja Aerospace,522229,,INE692C01020,Aerospace & Defense,Aerospace & Defense,238.30,0.17,12.75,0.00,136.99,0.00,0.22,166.17,131.57,0.00,25.43,104.62,0.00,31.03,33.47,5.94,0.00,0.00,1.95,166.17,27.53,0.17,0.81,4.29,5.00,23.34,0.09,0.49,2.55,0.30,10.85,109.19,131.22,0.09,9.37,-0.26,-2.11,0.82,3.00,19.69,35.67,44.55,101.89,114.83,119.36,607.67,0.00
Tanfac Inds.,506854,,INE639B01023,Chemicals & Petrochemicals,Commodity Chemicals,1885.00,31.49,9.98,0.00,329.59,1.43,40.00,462.01,301.47,0.00,133.69,197.36,22.25,8.74,237.46,115.00,0.00,0.00,53.68,462.01,122.46,0.00,98.42,94.67,5.00,21.47,0.73,42.73,2.00,0.00,70.60,60.64,185.01,29.10,42.52,29.32,-23.35,-48.87,0.00,0.40,43.45,69.27,39.98,32.96,40.90,3760.56,0.09
Tanla Platforms,532790,TANLA,INE483C01032,IT - Software,Software Products,412.20,58.18,13.26,0.00,2248.73,0.00,64.05,3356.23,1114.25,0.00,375.11,837.81,0.00,32.33,2343.79,1044.39,0.00,0.00,344.76,3356.23,1299.40,58.18,0.00,897.65,1.00,814.85,0.00,560.87,13.45,75.04,1032.00,700.32,990.99,104.00,906.75,305.52,210.29,145.99,53.53,5.39,0.00,0.42,304.70,257.34,451.99,5466.48,0.03
Tata Chemicals,500770,TATACHEM,INE092A01019,Chemicals & Petrochemicals,Commodity Chemicals,601.90,7495.00,255.00,0.00,22103.00,1982.00,5090.00,38855.00,27257.00,0.00,7657.00,20171.00,2099.00,9555.00,6655.00,4886.00,150.00,6095.00,1189.00,38855.00,1769.00,776.00,2626.00,2060.00,10.00,462.00,228.00,2184.00,25.48,5563.00,-303.00,17861.00,24408.00,2217.00,324.00,-827.05,5244.41,1266.27,7024.00,7702.37,6108.17,8378.84,16044.00,15355.61,12786.70,15334.01,0.34
Tata Consumer,500800,TATACONSUM,INE192A01025,Agricultural Food & other Products,Tea & Coffee,1027.20,2576.11,98.95,0.00,20215.30,1591.26,801.42,32006.47,24997.01,0.00,3520.17,21690.64,253.84,1284.80,8412.20,5467.56,0.00,0.00,567.84,32006.47,2944.64,582.10,3559.34,1162.64,1.00,1740.22,65.35,2987.11,98.95,3477.22,996.90,19357.90,22509.97,189.60,3765.03,2869.91,2342.58,1808.98,1412.01,1586.32,1067.58,1324.02,12599.35,11656.04,4798.18,101647.80,0.13
Tata Inv.Corpn.,501301,TATAINVEST,INE672A01026,Finance,Investment Company,588.90,0.00,50.60,0.00,31739.02,0.00,0.00,35735.65,177.48,0.00,3.52,172.19,0.00,35420.47,141.92,66.61,1486.67,0.00,22.53,35735.65,75.31,0.00,0.00,92.61,1.00,26.57,0.00,4.70,50.60,0.00,332.95,14.19,18.45,0.00,51.30,19.81,27.44,-80.13,0.00,0.00,0.00,0.00,15.68,14.74,13.63,29795.59,0.00
Tata Technolog.,544028,TATATECH,INE142M01025,IT - Services,IT Enabled Services,535.15,246.73,81.15,0.00,3485.21,0.00,236.58,7158.73,1857.30,0.00,727.05,1168.51,0.00,565.03,5056.70,3202.08,0.00,611.72,30.48,7158.73,1854.62,246.73,0.00,906.29,2.00,472.44,0.00,478.53,40.57,257.39,1699.81,1150.54,1763.06,0.00,756.82,865.64,,,261.44,258.19,,,1067.90,1119.26,,21725.99,0.07
Tatva Chintan,543321,TATVA,INE0GK401011,Chemicals & Petrochemicals,Specialty Chemicals,1119.20,83.01,23.39,0.00,731.00,36.39,0.00,907.74,613.60,0.00,87.85,515.47,79.88,0.00,296.44,151.95,0.00,0.00,5.24,907.74,144.49,0.00,146.04,101.41,10.00,17.17,0.19,35.91,2.34,14.27,208.19,426.89,488.02,76.54,264.46,45.05,13.30,,119.94,90.69,56.15,,159.61,111.18,57.04,2618.02,0.11
TCC Concept,512038,TCC,INE887D01016,Commercial Services & Supplies,Trading & Distributors,358.50,36.81,47.53,0.00,700.26,0.00,43.84,826.73,489.11,0.00,16.54,617.84,40.04,0.00,111.77,44.96,0.00,0.00,0.00,826.73,66.81,36.80,0.00,27.56,10.00,47.88,0.18,12.03,2.10,8.68,33.19,135.94,142.63,6.04,,,,,,,,,,,,1703.87,0.05
TCI Express,540212,TCIEXP,INE586V01016,Transport Services,Logistics Solution Provider,477.65,8.50,7.68,0.00,805.96,0.00,9.86,968.24,532.76,0.00,77.75,456.60,25.50,152.44,435.47,133.12,1.06,0.00,85.26,968.24,302.35,8.45,0.00,243.18,2.00,32.08,0.00,87.01,3.83,10.46,159.16,451.71,518.10,16.06,130.44,105.46,45.60,0.04,1.12,3.91,40.66,0.00,319.80,185.43,161.99,1835.09,0.01
TD Power Systems,533553,TDPOWERSYS,INE419M01027,Electrical Equipment,Heavy Electrical Equipment,825.65,35.74,31.24,0.00,930.16,12.21,0.01,1483.70,522.44,0.00,315.16,208.51,48.18,0.01,1195.56,512.41,0.00,0.00,147.99,1483.70,683.15,0.01,389.73,512.05,2.00,192.85,126.73,208.39,15.62,0.01,495.74,185.73,479.90,0.56,331.54,214.52,154.35,210.05,70.97,67.67,68.60,57.35,166.35,180.05,213.27,12897.87,0.04
Team India Guar.,511559,TEAMGTY,INE289C01025,Finance,Non Banking Financial Company (NBFC),280.20,0.00,8.99,0.00,39.99,0.00,0.00,49.10,0.00,0.00,0.00,0.00,0.00,16.51,16.33,0.02,29.51,0.00,0.02,49.10,16.31,0.00,0.00,0.00,10.00,15.31,0.00,0.00,0.90,0.00,22.07,0.07,0.07,0.00,12.10,11.88,-0.03,0.01,0.00,0.00,0.00,0.00,0.07,0.07,0.07,251.91,0.00
Team Lease Serv.,539658,TEAMLEASE,INE985S01024,Commercial Services & Supplies,Diversified Commercial Services,1159.30,127.62,16.77,0.00,942.92,42.48,75.58,2312.88,530.89,0.00,220.32,336.14,0.00,88.39,1428.12,1154.30,0.00,0.00,183.61,2312.88,273.82,65.33,0.00,494.98,10.00,308.91,8.99,81.06,1.68,104.81,284.37,292.77,504.57,11.30,246.15,-6.58,58.18,96.12,59.83,123.67,7.29,0.00,262.17,264.65,137.55,1944.02,0.13
Tech Mahindra,532755,TECHM,INE669C01036,IT - Software,Computers - Software & Consulting,1385.90,1954.40,442.80,0.00,27061.10,41.00,1984.20,45828.20,29120.10,0.00,15138.60,14261.70,23.00,3082.40,24968.30,13637.20,0.00,2681.40,4408.80,45828.20,11331.10,1685.90,96.10,6664.10,5.00,4286.60,0.00,4395.70,97.68,2536.70,8029.30,13903.00,28327.00,133.20,7515.00,6634.30,6595.40,5739.90,2618.40,3670.50,2396.60,700.10,14783.60,8872.00,7622.40,135796.20,0.07
TechD Cybersec.,,TECHD,INE0Y5H01014,IT - Services,IT Enabled Services,492.10,0.08,5.46,0.00,56.74,0.00,0.32,73.04,3.51,0.00,0.71,2.73,0.00,0.00,69.81,8.51,0.00,0.00,0.00,73.04,61.30,0.00,0.00,15.05,10.00,47.53,0.00,3.64,0.00,1.81,4.75,0.41,0.67,0.00,0.29,,,,0.01,,,,0.18,,,368.08,0.00
Techera Enginee.,,TECHERA,INE0JQS01019,Aerospace & Defense,Aerospace & Defense,189.50,24.71,16.52,0.00,34.50,13.41,6.96,92.81,32.60,0.00,9.36,41.17,4.52,2.17,39.54,29.11,0.00,0.00,0.22,92.81,10.43,0.00,10.81,19.94,10.00,0.01,0.88,9.76,1.21,14.35,9.04,8.73,15.75,2.66,4.64,,,,20.86,,,,8.00,,,313.06,0.48
Techno Elec.Engg,542141,TECHNOE,INE285K01026,Construction,Civil Construction,1034.45,61.23,23.26,0.00,3869.49,39.09,0.00,5405.13,142.93,0.00,72.72,88.91,470.68,2524.46,4703.49,993.21,0.00,384.17,16.72,5405.13,3710.28,0.00,0.00,774.32,2.00,141.69,0.00,894.60,10.76,0.00,724.28,75.90,140.60,275.74,560.64,421.93,351.02,,0.00,0.00,66.75,,459.06,507.71,584.77,12030.63,0.02
Tega Inds.,543413,TEGA,INE011K01018,Industrial Manufacturing,Industrial Products,1605.90,305.40,75.13,0.00,1409.12,245.07,84.58,2149.88,1291.52,0.00,668.88,634.64,55.36,317.49,1347.22,530.86,0.00,0.00,10.09,2149.88,816.36,75.99,395.72,447.77,10.00,120.77,38.48,191.50,6.65,308.01,439.61,600.23,1176.90,10.90,279.70,117.72,93.65,298.73,245.16,286.69,248.90,355.61,298.30,265.93,286.68,12064.75,0.21
Tenneco Clean,544612,TENNIND,INE19RI01016,Auto Components,Auto Components & Equipments,535.70,22.52,403.60,0.00,513.81,0.00,19.69,2141.39,1152.59,0.00,570.72,556.79,66.39,0.33,1441.52,1149.31,0.00,0.00,116.47,2141.39,292.21,22.52,299.94,619.21,10.00,367.90,34.63,924.17,21.41,15.10,80.63,607.53,1083.35,36.62,,,,,,,,,,,,21621.08,0.02
Tera Software,533982,TERASOFT,INE482B01010,IT - Services,IT Enabled Services,320.00,28.94,12.51,0.00,121.10,18.60,1.32,290.05,45.63,0.00,19.10,28.69,0.00,0.01,250.78,149.46,0.01,0.00,82.63,290.05,101.32,0.00,0.00,140.58,10.00,6.27,0.00,101.55,1.25,33.46,83.04,26.60,45.56,0.00,72.70,73.03,61.93,53.12,60.54,29.48,44.16,43.09,30.05,31.17,34.14,400.38,0.22
Texmaco Infrast.,505400,TEXINFRA,INE435C01024,Commercial Services & Supplies,Diversified Commercial Services,85.93,28.94,12.74,0.00,1423.19,1.91,28.11,1756.37,134.39,0.00,23.27,113.50,7.08,1540.47,319.32,188.40,0.00,1101.19,0.00,1756.37,130.92,7.13,60.79,1.26,1.00,3.99,0.10,0.79,12.74,31.80,21.71,134.21,155.24,12.28,60.57,76.73,67.35,26.22,28.66,28.18,28.94,0.00,133.00,135.70,135.30,1094.98,0.02
Texmaco Rail,533326,TEXRAIL,INE621L01012,Industrial Manufacturing,Industrial Products,86.95,822.55,399.95,0.00,2783.56,863.76,7.61,4751.09,718.08,0.00,268.87,912.63,45.92,276.40,3567.74,1554.83,0.00,5.56,1084.47,4751.09,2012.91,7.46,948.08,1089.12,1.00,163.92,51.96,655.04,39.95,631.10,1887.66,398.96,634.68,21.24,966.68,646.05,629.05,88.51,709.80,760.36,521.79,107.07,361.35,408.56,344.34,3537.66,0.29
