Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Inventory turnover ratio 3Years back,Inventory turnover ratio 5Years back,Inventory turnover ratio 7Years back,Inventory turnover ratio 10Years back,Exports percentage 3Years back,Average 5years dividend,Exports percentage 5Years back,Average return on capital employed 3Years,Average return on capital employed 5Years,Average return on capital employed 7Years,Average return on capital employed 10Years,Average return on equity 7Years,Return on equity 5years growth,Average return on equity 10Years,OPM 5Year,OPM 10Year,Number of Shareholders 1year back,Average dividend payout 3years,Debtor days 3years back,Average debtor days 3years,Debtor days 5years back,Return on assets 5years,Return on assets 3years,Historical PE 3Years,Historical PE 10Years,Historical PE 5Years,Historical PE 7Years,Market Capitalization 3years back,Market Capitalization 5years back,Market Capitalization 7years back,Market Capitalization 10years back,Average Working Capital Days 3years,Change in FII holding 3Years,Change in DII holding 3Years,Is not SME,Market Capitalization,Debt to equity
Accent Microcell,,ACCENTMIC,INE0Q5D01013,Pharmaceuticals & Biotechnology,Pharmaceuticals,358.40,3.28,3.75,,,,1.34,62.99,27.13,23.48,22.51,22.51,22.26,0.30,,12.36,,2999.00,7.27,37.53,75.22,59.95,11.99,15.61,19.88,19.88,19.88,19.88,,,,,73.36,,,0,859.77,0.00
Ace Soft. Exp.,531525,,INE849B01010,IT - Software,Software Products,190.50,0.46,0.22,0.22,0.45,94.92,0.00,97.62,4.61,0.99,-1.64,0.56,0.96,23.28,1.96,7.08,3.07,5764.00,0.00,0.37,19.52,4.79,0.32,3.70,61.63,20.74,51.64,47.18,11.70,10.76,16.46,5.43,122.95,0.00,0.60,1,305.15,0.14
Acetech E-Commerce,,ACETEC,INE1J6M01010,Retailing,E-Retail/ E-Commerce,154.00,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,0.00,,0.00,,,,17.70,17.70,17.70,17.70,,,,,0.00,,,0,252.31,0.02
Action Const.Eq.,532762,ACE,INE731H01025,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,807.10,3.93,3.21,5.52,3.38,2.71,14.47,4.55,36.19,30.18,26.71,21.98,22.27,19.52,20.07,12.44,10.79,162240.00,6.67,42.27,26.08,46.51,12.33,15.04,41.06,32.71,31.72,28.05,2863.95,388.68,1966.92,401.20,-13.14,5.43,-1.68,1,9611.21,0.08
Adani Total Gas,542066,ATGL,INE399L01023,Gas,LPG/CNG/PNG/LNG Supplier,528.60,30.81,17.08,26.12,,,27.50,,19.80,23.15,24.86,24.86,21.93,-12.88,,24.69,,643039.00,4.45,22.41,30.23,11.91,12.20,10.32,117.05,119.29,166.34,120.96,236437.18,9496.86,,,-103.25,-4.44,0.16,1,58135.98,0.45
ADC India,523411,,INE833A01016,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories,1222.25,8.47,4.84,8.21,8.13,0.83,7.41,,37.87,30.13,26.35,22.76,21.27,29.24,18.31,11.74,9.84,8153.00,48.55,60.93,56.08,61.48,14.75,18.58,33.23,25.16,29.08,25.67,139.77,53.77,91.89,144.16,31.08,0.12,0.00,1,562.24,0.00
Adcounty Media.,544435,,INE0W1601012,Media,Web based media and service,107.00,,,,,17.39,0.00,41.70,86.02,80.91,80.91,80.91,,-8.19,,20.54,,,0.00,118.37,123.52,79.87,25.25,32.83,15.61,15.61,15.61,15.61,,,,,75.15,,,0,240.75,0.01
ADF Foods,519183,ADFFOODS,INE982B01027,Food Products,Packaged Foods,170.25,2.49,3.01,3.51,4.26,78.17,19.47,90.52,17.75,19.86,21.47,19.09,16.31,-9.42,14.80,17.84,16.17,41996.00,38.82,61.48,75.02,68.07,12.83,11.70,34.95,31.80,33.72,32.44,1631.21,340.34,429.51,129.69,115.63,1.87,15.44,1,1870.41,0.02
Aditya AMC,543374,ABSLAMC,INE404A01024,Capital Markets,Asset Management Company,921.70,,,,,0.01,370.13,0.20,34.51,38.60,42.15,43.01,30.55,-7.08,,63.71,,288489.00,57.91,6.80,8.79,11.96,26.43,24.03,21.62,20.22,20.22,20.22,15374.88,,,,1.29,4.04,6.13,1,26619.24,0.02
Aditya Infotech,544466,CPPLUS,INE819V01029,Industrial Manufacturing,Industrial Products,1692.50,7.27,5.97,,,,0.40,,25.12,25.19,25.19,25.19,,14.92,,7.48,,,0.00,116.39,105.49,97.55,7.05,7.28,87.06,87.06,87.06,87.06,,,,,9.19,,,1,19937.30,0.08
Ador Welding,517041,ADOR,INE045A01017,Industrial Products,Other Industrial Products,894.20,6.36,5.36,7.06,6.44,4.75,,5.47,20.28,15.51,14.62,14.15,,6.14,,,,41468.00,,51.40,61.93,89.99,,,30.86,25.90,28.91,26.05,845.69,252.12,508.18,294.54,57.15,-0.09,8.12,1,1556.16,0.00
Advait Energy,543230,ADVAIT,INE0ALI01010,Industrial Products,Cables - Electricals,1643.00,7.87,8.36,,,9.03,0.89,11.81,30.70,25.94,23.79,23.79,22.11,55.66,,14.03,,24660.00,4.37,135.22,117.84,99.12,9.31,10.57,56.92,50.84,51.79,50.84,62.73,,,,-16.61,0.02,0.31,1,1797.01,0.27
Advance Agrolife,544562,ADVANCE,INE1B0W01010,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,93.30,8.17,,,,6.43,0.00,0.99,33.70,32.71,32.71,32.71,,,,8.08,,,0.00,96.44,110.77,,,9.87,21.54,21.54,21.54,21.54,,,,,28.95,,,1,599.77,0.47
Advanced Enzyme,540025,ADVENZYMES,INE837H01020,Pharmaceuticals & Biotechnology,Biotechnology,266.35,1.30,1.39,1.27,1.27,55.26,29.53,53.69,13.40,15.50,17.72,21.60,12.47,-10.94,13.92,35.12,38.99,67351.00,32.59,60.82,63.85,61.40,10.23,8.88,28.67,28.12,28.72,27.42,3153.90,1591.42,2379.95,,107.51,4.11,-0.13,1,2981.15,0.02
Advani Hotels.,523269,ADVANIHOTR,INE199C01026,Leisure Services,Hotels & Resorts,51.19,6.09,3.94,7.91,5.12,2.86,14.60,2.15,53.30,33.37,31.56,30.54,26.55,9.21,25.02,29.68,27.63,38529.00,84.90,2.70,4.83,13.53,17.81,28.66,21.61,26.29,21.71,22.19,421.81,139.06,249.48,194.04,-49.03,0.12,-0.06,1,473.18,0.01
Aegis Logistics,500003,AEGISLOG,INE208C01025,Gas,Trading - Gas,600.20,54.57,67.43,169.17,118.21,0.74,173.74,1.56,14.61,15.08,15.49,16.99,14.74,18.85,15.31,11.69,9.00,73784.00,42.00,58.19,33.16,23.07,9.12,8.73,38.08,38.15,31.98,35.41,7214.81,4736.65,8670.64,2024.71,-4.73,1.47,1.64,1,21067.02,0.41
Aegis Vopak Term,544407,AEGISVOPAK,INE0INX01018,Oil,Oil Storage & Transportation,180.10,,,,,,,,7.64,7.64,7.64,7.64,,,,,,,12.66,,75.94,,,1.52,145.00,145.00,145.00,145.00,,,,,7.25,,,1,19954.93,0.42
Aelea Commoditi.,544213,,INE0T3401029,Agricultural Food & other Products,Other Agricultural Products,123.00,8.70,,,,,0.00,,13.63,16.98,16.98,16.98,,,,5.83,,1867.00,0.00,100.27,86.13,,,5.04,35.77,35.77,35.77,35.77,,,,,55.01,,,0,250.55,0.01
Aeroflex,543972,AEROFLEX,INE024001021,Industrial Products,Iron & Steel Products,225.65,4.53,2.90,,,84.53,1.88,81.06,27.54,27.10,27.10,27.10,,1.12,,19.65,,95796.00,7.57,79.75,104.17,71.61,12.79,14.55,49.93,49.93,49.93,49.93,,,,,109.18,,,1,2986.04,0.03
Aeroflex Enter.,511076,AEROENTER,INE065D01027,Industrial Products,Iron & Steel Products,68.67,4.94,3.58,8.26,38.16,,2.38,,15.16,14.86,13.34,10.84,10.31,126.55,9.93,15.18,13.41,43125.00,4.33,85.15,103.86,84.27,8.12,9.01,18.32,20.49,18.62,19.05,438.77,189.98,394.74,12.65,148.98,-0.33,0.04,1,776.55,0.06
Aether Industri.,543534,AETHER,INE0BWX01014,Chemicals & Petrochemicals,Specialty Chemicals,1128.00,,,,,43.98,,55.95,12.04,12.04,12.04,12.04,,,,,,66677.00,0.00,101.13,137.63,,,7.87,88.30,89.42,89.42,89.42,,,,,261.89,4.25,3.90,1,14965.73,0.09
Afcom Holdings,544224,,INE0OXY01013,Transport Services,Logistics Solution Provider,713.55,,,,,,0.00,,37.13,42.49,42.49,42.49,,,,23.74,,1567.00,0.00,117.66,71.20,,,23.34,44.52,44.52,44.52,44.52,,,,,136.31,,,0,1860.10,0.12
Affle 3i,542752,AFFLE,INE00WC01027,IT - Services,IT Enabled Services,1264.95,,,,,65.10,0.00,52.30,17.76,24.06,38.76,38.76,19.02,-20.24,,20.63,,275241.00,0.00,79.20,57.79,81.40,15.04,11.72,59.21,65.21,64.61,65.21,16790.30,2563.90,,,24.26,5.13,5.80,1,17805.11,0.01
AGI Greenpac,500187,AGI,INE415A01038,Industrial Products,Packaging,479.55,1.97,1.49,2.26,2.13,1.81,34.94,2.35,17.46,13.91,11.34,10.51,11.26,34.12,10.01,21.85,17.81,50268.00,13.95,78.18,53.48,57.53,6.88,8.37,17.58,12.28,16.46,15.59,1914.40,291.73,801.37,972.80,13.07,0.61,0.06,1,3102.56,0.21
AGI Infra,539042,AGIIL,INE976R01033,Realty,"Residential, Commercial Projects",304.55,-0.11,0.14,0.19,0.30,0.74,1.10,1.38,25.80,25.65,22.74,21.37,26.87,1.10,26.06,26.57,25.29,3754.00,2.24,2.87,2.42,14.40,5.80,6.18,22.52,14.06,15.50,13.84,289.98,58.15,173.74,56.21,-15.65,4.78,0.03,1,3806.82,0.42
Agribio Spirits,539546,,INE679E01015,Beverages,Breweries & Distilleries,253.00,,,,,,0.16,,11.51,11.11,11.11,11.11,,,,,,2238.00,9.15,0.00,24.95,,,8.25,38.68,34.23,34.23,34.23,8.95,9.80,8.34,,175.08,0.00,0.00,1,275.37,0.22
Ahluwalia Contr.,532811,AHLUCONT,INE758C01029,Construction,Civil Construction,691.80,4.76,3.64,4.75,3.38,,2.41,,22.34,21.55,21.52,23.85,13.89,7.27,14.90,9.34,10.11,37567.00,1.42,59.99,72.82,95.53,6.82,7.49,27.97,25.79,24.48,24.01,3155.45,1149.51,2518.06,1672.01,51.59,1.34,-3.82,1,4634.21,0.04
Ahm. Steelcraft,522273,,INE868C01018,Industrial Products,Iron & Steel Products,149.00,,,104.82,79.67,78.26,0.00,95.36,0.30,-0.49,-0.03,0.38,2.49,48.34,2.16,2.12,-0.98,2573.00,0.00,735.29,315.01,115.29,-1.63,-1.66,7.99,7.96,7.99,7.60,7.61,3.88,8.84,17.80,272.19,0.00,0.00,1,224.87,0.00
Aimtron,,AIMTRON,INE0RUV01018,Industrial Manufacturing,Industrial Products,767.00,,,,,,,,29.16,29.16,29.16,29.16,,,,,,2636.00,,,132.75,,,,53.13,53.13,53.13,53.13,,,,,170.75,,,0,1580.71,0.00
Airfloa Rail,544516,,INE0XBS01012,Industrial Manufacturing,Industrial Products,272.10,,,,,,,,24.60,24.60,24.60,24.60,,,,,,,0.00,177.76,246.77,,,6.61,23.42,23.42,23.42,23.42,,,,,47.48,,,0,652.22,0.27
Ajax Engineering,544356,AJAXENGG,INE274Y01021,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,455.90,2.58,2.52,,,4.69,4.96,4.15,32.84,28.44,28.44,28.44,,0.84,,15.22,,,3.68,26.18,23.76,27.98,15.90,18.54,29.40,29.40,29.40,29.40,,,,,18.64,,,1,5215.80,0.00
Akiko,,AKIKO,INE0PMR01017,Finance,Other Financial Services,221.50,,,,,,,,0.00,0.00,0.00,0.00,,,,,,609.00,,,190.81,,,,22.98,22.98,22.98,22.98,,,,,189.28,,,0,238.55,0.12
Akums Drugs,544222,AKUMS,INE09XN01023,Pharmaceuticals & Biotechnology,Pharmaceuticals,477.70,4.26,4.27,,3.49,,0.00,,13.66,8.96,8.96,9.76,,23.02,,5.62,,68410.00,0.00,87.90,75.17,87.92,1.84,4.10,23.40,23.40,23.40,23.40,,,,,52.39,,,1,7518.73,0.03
Alacrity Sec.,535916,,INE030P01017,Finance,Other Financial Services,58.15,21.53,10.98,5.28,5.52,0.00,0.00,0.00,27.13,21.58,11.90,8.83,10.16,19.74,7.15,3.17,2.19,1212.00,0.00,0.28,1.24,1.43,11.61,14.34,20.04,18.08,17.33,17.33,25.70,17.81,12.65,12.12,32.38,0.00,0.00,1,271.33,0.03
Albert David,524075,ALBERTDAVD,INE155C01010,Pharmaceuticals & Biotechnology,Pharmaceuticals,665.00,3.42,2.41,2.74,2.20,5.67,4.63,5.16,17.09,16.00,16.00,15.12,11.82,-12.88,11.12,9.63,9.31,14830.00,13.17,29.17,30.33,34.38,8.80,9.50,10.75,11.81,10.28,10.05,302.88,181.80,208.97,156.89,2.52,0.03,-1.19,1,379.71,0.11
Alembic,506235,ALEMBICLTD,INE426A01027,Realty,"Residential, Commercial Projects",77.11,0.16,0.22,1.39,0.69,2.05,46.22,1.49,5.30,4.10,4.48,4.27,13.98,-11.31,15.18,32.80,20.69,107423.00,24.14,71.02,54.12,44.34,11.80,10.94,9.25,7.49,9.25,8.18,1860.52,907.79,1149.70,746.26,84.08,0.47,-3.89,1,1980.04,0.00
Alembic Pharma,533573,APLLTD,INE901L01018,Pharmaceuticals & Biotechnology,Pharmaceuticals,660.25,1.01,1.03,1.27,1.76,58.63,212.27,64.65,11.20,14.13,16.79,23.43,15.90,-17.09,18.03,17.01,19.79,93944.00,39.38,55.52,68.07,68.53,9.67,7.63,31.41,25.09,29.91,26.85,14577.12,10071.46,10337.27,8569.93,83.78,-0.76,3.41,1,12978.08,0.28
Algoquant Fin,505725,ALGOQUANT,INE598D01035,Finance,Other Financial Services,52.50,,,,1.06,0.00,0.00,0.00,21.72,19.13,12.88,-131.55,15.37,20.27,,22.23,16.22,2481.00,0.00,0.00,2.83,0.00,8.27,6.87,65.76,65.76,75.70,66.25,328.60,10.88,6.31,8.27,243.96,-4.91,-0.06,1,1475.75,0.24
Alivus Life,543322,ALIVUS,INE03Q201024,Pharmaceuticals & Biotechnology,Pharmaceuticals,926.00,2.18,2.05,1.94,,45.75,221.82,44.40,27.64,44.40,133.90,133.90,29.44,-31.96,,29.62,,146840.00,60.47,115.78,135.64,151.63,17.62,16.81,21.49,15.94,15.94,15.94,5621.55,,,,188.53,0.63,7.05,1,11365.39,0.02
Alkyl Amines,506767,ALKYLAMINE,INE150B01039,Chemicals & Petrochemicals,Specialty Chemicals,1260.75,6.69,5.67,5.50,4.54,17.31,51.13,16.71,20.98,30.33,31.64,29.65,22.80,-19.77,22.95,22.02,21.73,174927.00,28.08,65.51,55.26,60.37,16.93,12.03,58.52,43.24,60.08,55.28,14599.30,2454.73,1211.86,641.68,38.95,0.76,1.89,1,6447.98,0.00
All E Tech,,ALLETEC,INE0M2X01012,IT - Software,Computers - Software & Consulting,139.00,,,,,47.87,6.01,,24.84,27.58,27.58,27.58,,24.28,,17.76,,4078.00,12.57,50.88,46.61,45.88,15.92,14.93,26.67,25.87,25.87,25.87,,,,,-9.78,,,0,280.70,0.00
All Time Plastic,544479,ALLTIME,INE0GV601021,Consumer Durables,Houseware,205.35,4.95,3.63,,,90.94,0.00,88.53,19.74,19.19,19.19,19.19,,0.80,,17.42,,,0.00,42.86,42.07,28.29,8.94,9.38,30.89,30.89,30.89,30.89,,,,,3.64,,,1,1345.21,0.22
Alldigi Tech,532633,ALLDIGI,INE835G01018,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),729.15,,,,,51.14,56.39,27.44,29.01,25.28,23.98,29.18,18.95,7.05,22.70,24.07,22.00,17892.00,83.96,65.82,51.51,55.81,14.49,16.67,20.12,15.33,20.00,19.05,795.13,176.00,504.92,32.91,19.14,1.48,1.23,1,1111.10,0.33
Allied Digital,532875,ADSL,INE102I01027,IT - Services,IT Enabled Services,97.85,7.61,6.00,4.03,3.65,47.36,6.57,38.69,11.28,9.63,8.34,7.14,6.15,4.25,4.69,11.66,13.32,75838.00,49.83,149.64,84.22,223.89,5.51,6.07,20.58,16.35,18.69,15.05,620.92,64.26,99.41,89.14,102.37,0.19,0.00,1,553.00,0.19
Alpex Solar,,ALPEXSOLAR,INE0R4701017,Electrical Equipment,Other Electrical Equipment,745.00,3.89,4.89,,,,0.00,5.09,30.16,22.03,22.03,22.03,,40.17,,11.08,,4544.00,0.00,37.10,51.83,57.33,8.93,13.72,35.06,35.06,35.06,35.06,,,,,30.54,,,0,1902.95,0.37
Alufluoride,524634,,INE058F01019,Chemicals & Petrochemicals,Commodity Chemicals,410.95,6.35,6.19,9.15,3.26,0.01,1.41,45.69,24.11,16.28,19.54,20.26,16.89,-1.20,16.79,18.31,17.57,15702.00,12.34,56.03,34.30,15.13,8.89,13.73,19.76,16.01,21.85,19.99,235.75,58.26,67.69,8.40,34.83,0.00,0.00,1,321.38,0.29
Amagi Media Labs,544679,AMAGI,INE121R01077,IT - Services,IT Enabled Services,340.30,15.30,,,,98.44,0.00,96.33,-39.98,-171.99,-171.99,-171.99,,,,-51.82,,,0.00,136.60,99.35,,,-17.75,,,,,,,,,-88.06,,,1,7362.02,0.07
Amal,506597,,INE841D01013,Chemicals & Petrochemicals,Specialty Chemicals,468.45,15.45,10.51,,,,0.25,,10.26,13.57,13.57,13.57,,0.41,,19.25,,13783.00,1.41,11.25,24.99,79.94,7.09,4.23,34.82,66.22,69.22,66.22,463.67,108.10,140.91,20.33,-19.02,0.00,0.00,1,579.14,0.00
Amara Raja Ener.,500008,ARE&M,INE885A01032,Auto Components,Auto Components & Equipments,745.00,3.93,3.84,4.60,5.99,13.08,148.45,12.33,18.42,18.50,19.85,22.85,14.28,-7.82,15.29,13.74,14.43,807657.00,18.06,33.27,31.33,33.96,10.16,10.23,19.93,21.80,18.24,19.52,9162.38,8165.69,13579.59,14229.54,47.75,-18.12,7.87,1,13635.39,0.04
Ambika Cotton,531978,AMBIKCO,INE540G01014,Textiles & Apparels,Other Textile Products,1228.80,1.99,1.38,1.75,2.49,64.78,20.28,66.66,14.48,19.74,18.79,19.00,12.98,-6.89,13.33,20.06,19.51,28930.00,27.34,18.19,13.84,10.62,11.91,7.99,12.92,10.94,11.38,9.60,1348.98,302.25,739.18,460.31,192.83,-3.07,1.62,1,703.49,0.00
Ambuja Cements,500425,AMBUJACEM,INE079A01024,Cement & Cement Products,Cement & Cement Products,408.25,4.45,4.25,3.24,3.23,0.03,1250.74,0.02,11.69,13.38,13.31,12.69,9.75,-0.64,9.24,17.87,17.20,633718.00,14.45,7.80,13.49,14.39,7.69,7.15,35.48,28.27,32.81,28.06,74958.11,38968.29,54019.48,35465.93,10.15,-4.86,2.93,1,100912.17,0.02
Amic Forging,544037,,INE0P9J01013,Industrial Products,Castings & Forgings,1270.00,100.13,24.65,,,,0.00,,42.71,30.71,30.71,30.71,,18.50,,13.46,,1811.00,0.00,71.19,78.80,82.95,12.55,17.78,50.37,50.37,50.37,50.37,,,,,29.59,,,0,1365.10,0.05
Amines & Plast.,506248,AMNPLST,INE275D01022,Chemicals & Petrochemicals,Commodity Chemicals,154.95,6.26,5.28,5.96,5.79,,2.53,,19.50,20.96,22.37,23.25,18.86,-9.13,19.67,9.39,9.22,9957.00,9.02,66.26,66.93,62.53,9.45,9.13,31.18,20.20,27.49,23.55,601.09,110.04,318.02,84.42,75.79,0.00,0.00,1,852.52,0.11
Amrutanjan Healt,590006,AMRUTANJAN,INE098F01031,Pharmaceuticals & Biotechnology,Pharmaceuticals,500.00,8.43,6.89,9.68,8.84,2.05,13.14,2.05,21.02,28.88,27.50,27.57,19.68,0.11,19.29,15.52,14.79,53856.00,29.81,34.41,39.45,36.94,16.68,12.13,42.00,40.89,40.48,40.14,2322.66,964.46,789.42,699.57,129.55,1.51,6.61,1,1445.53,0.01
Anant Raj,515055,ANANTRAJ,INE242C01024,Realty,"Residential, Commercial Projects",447.55,0.00,0.00,0.00,0.01,,14.54,,8.50,5.77,4.45,3.83,4.69,58.97,3.61,21.75,22.86,156568.00,8.68,17.21,22.12,94.61,3.82,5.91,43.86,29.69,44.47,40.03,1944.71,322.25,758.70,649.52,487.68,2.02,5.12,1,16106.30,0.13
ANB Metal,,AMCL,INE0VG001016,Industrial Products,"Aluminium, Copper & Zinc Products",427.00,,,,,,,,27.27,27.27,27.27,27.27,,,,,,,0.00,65.55,96.30,,,9.68,26.04,26.04,26.04,26.04,,,,,30.90,,,0,505.35,0.30
Andhra Paper,502330,ANDHRAPAP,INE435A01051,"Paper, Forest & Jute Products",Paper & Paper Products,59.70,5.11,2.31,3.64,2.87,17.68,31.82,8.53,27.04,19.86,24.13,20.84,17.34,-34.03,16.48,20.70,20.10,45590.00,14.53,27.12,21.25,11.72,11.48,15.92,8.53,10.48,9.10,8.05,1172.32,563.28,1158.99,1254.46,10.64,-0.20,-2.01,1,1187.14,0.14
Andhra Sugars,590062,ANDHRSUGAR,INE715B01021,Chemicals & Petrochemicals,Commodity Chemicals,68.52,2.93,2.22,2.16,2.23,0.53,26.57,0.53,8.28,11.50,13.56,13.54,11.15,-31.46,11.11,10.25,13.19,54924.00,24.84,44.65,35.67,52.53,7.12,5.09,17.53,9.32,10.95,8.60,2072.34,479.81,1107.04,248.51,80.94,-0.87,0.00,1,928.68,0.00
Anlon Healthcare,544497,AHCL,INE0Y8W01017,Pharmaceuticals & Biotechnology,Pharmaceuticals,116.10,1.88,,,,16.56,0.00,6.88,18.57,15.65,15.65,15.65,,,,16.42,,,0.00,129.67,194.08,,,9.09,24.97,24.97,24.97,24.97,,,,,224.89,,,1,617.12,0.27
Anlon Tech,,ANLON,INE0LR101013,Commercial Services & Supplies,Diversified Commercial Services,355.00,5.50,5.30,,,,0.00,,26.30,33.53,47.61,47.61,20.71,-20.71,,18.53,,1186.00,0.00,97.76,97.14,73.97,11.09,12.71,37.28,36.24,36.24,36.24,,,,,155.10,,,0,222.06,0.16
Annapurna Swadi.,,ANNAPURNA,INE0MGM01017,Food Products,Packaged Foods,153.55,,,,,,,,15.68,15.68,15.68,15.68,,,,,,3594.00,0.00,,46.12,,,,30.52,30.52,30.52,30.52,,,,,32.95,5.19,0.17,0,335.05,0.36
Anondita Medi.,,ANONDITA,INE0VTV01012,Personal Products,Personal Care,680.00,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,126.82,,,,54.39,54.39,54.39,54.39,,,,,129.47,,,0,1229.89,0.43
Antelopus Selan,530075,ANTELOPUS,INE818A01017,Oil,Oil Exploration & Production,520.10,0.03,0.03,0.09,0.23,,3.04,,15.60,9.70,10.50,9.79,8.99,19.49,7.98,44.59,51.40,25121.00,0.00,88.61,61.45,71.41,6.47,9.62,23.39,23.47,26.13,21.90,288.50,101.92,311.60,372.69,71.71,-3.55,0.01,1,1828.78,0.01
Anthem Bioscienc,544449,ANTHEM,INE0CZ201020,Pharmaceuticals & Biotechnology,Biotechnology,633.95,9.55,6.00,,,81.18,0.00,85.54,26.81,37.32,37.32,37.32,,-1.05,,38.78,,,0.00,96.70,103.30,60.61,22.67,17.65,77.25,77.25,77.25,77.25,,,,,124.74,,,1,35609.86,0.04
Anuh Pharma,506260,ANUHPHR,INE489G01022,Pharmaceuticals & Biotechnology,Pharmaceuticals,73.70,4.79,4.74,6.63,12.57,46.85,9.27,50.80,20.63,19.14,17.88,19.30,14.16,10.59,14.31,10.23,9.96,24279.00,21.48,101.79,114.92,96.35,8.98,9.88,18.34,19.96,18.56,18.50,430.66,291.98,392.18,407.61,66.24,0.00,0.00,1,738.67,0.00
Anupam Rasayan,543275,ANURAS,INE930P01018,Chemicals & Petrochemicals,Specialty Chemicals,1221.90,0.55,0.86,,,55.75,12.77,68.05,9.60,9.96,9.80,9.80,6.50,-19.95,,26.75,,60938.00,11.45,95.21,141.44,89.37,4.62,4.55,81.01,67.27,67.32,67.27,8264.86,,,,150.14,-0.59,-5.77,1,13911.14,0.38
Apcotex Industri,523694,APCOTEXIND,INE116A01032,Industrial Products,Rubber,348.00,9.01,6.07,9.40,6.20,21.19,26.96,17.13,18.09,21.70,20.20,19.32,16.01,10.53,15.69,11.91,11.42,34199.00,47.23,61.70,59.61,65.55,11.23,9.05,35.48,29.44,31.02,30.24,1860.72,401.02,1018.08,516.19,31.87,0.15,2.13,1,1804.20,0.23
Apeejay Surrend.,544111,PARKHOTELS,INE988S01028,Leisure Services,Hotels & Resorts,105.95,5.91,1.66,,,,2.13,,11.72,7.09,6.82,6.82,2.97,10.98,,29.05,,41246.00,4.19,26.39,20.33,18.00,1.39,4.63,43.87,43.87,43.87,43.87,,,,,-41.51,,,1,2260.71,0.17
Apex Frozen Food,540692,APEX,INE346W01013,Food Products,Seafood,357.70,3.46,3.29,5.68,8.33,95.05,6.88,89.64,5.97,8.58,12.05,17.70,8.55,-45.76,11.26,7.35,8.27,41027.00,75.22,52.02,47.91,34.92,4.29,2.80,53.65,21.29,33.05,21.57,870.63,526.72,1900.00,,95.99,4.72,-5.75,1,1117.80,0.08
Apis India,506166,,INE070K01014,Food Products,Other Food Products,56.05,1.76,1.70,1.80,,43.86,0.00,30.93,13.67,11.67,10.96,10.96,14.25,29.55,,8.06,,23.00,0.00,105.32,101.31,80.12,6.91,9.44,32.71,16.86,17.70,16.86,10.20,10.20,9.78,6.48,104.90,0.00,0.00,1,772.10,0.26
APL Apollo Tubes,533758,APLAPOLLO,INE702C01027,Industrial Products,Iron & Steel Products,1935.90,14.16,9.41,9.29,7.89,3.33,107.70,1.98,24.81,26.66,24.67,24.15,22.27,-1.48,22.24,6.58,6.58,194598.00,21.18,9.55,3.54,22.51,12.34,11.22,57.96,39.28,53.71,49.20,22890.65,3098.05,4718.65,938.94,3.41,8.81,9.49,1,53747.58,0.16
Apollo Micro Sys,540879,APOLLO,INE713T01028,Aerospace & Defense,Aerospace & Defense,190.35,0.70,0.70,,,,2.13,,12.39,10.69,10.69,10.69,,16.18,,21.53,,286027.00,6.96,204.74,188.56,201.10,3.33,4.00,87.18,42.93,60.68,42.93,246.21,93.84,508.83,,306.79,4.32,-1.33,1,6801.07,0.33
Apollo Pipes,531761,APOLLOPIPE,INE126J01016,Industrial Products,Plastic Products - Industrial,387.35,,,,8.78,98.15,,0.43,7.32,7.32,7.32,20.13,,,,,,44497.00,,,29.38,,,,79.20,42.84,68.19,56.95,1907.42,320.77,597.12,61.80,8.21,1.20,0.26,1,1706.26,0.09
Apollo Tyres,500877,APOLLOTYRE,INE438A01022,Auto Components,Tyres & Rubber Products,405.15,3.48,3.02,3.31,3.38,15.31,282.62,9.36,12.73,10.86,9.76,11.73,8.13,12.60,9.28,14.69,13.97,417861.00,25.93,35.74,39.36,20.98,4.02,4.93,20.05,17.59,19.72,19.12,12130.43,4542.08,15848.65,8564.34,7.98,-10.62,10.76,1,25731.14,0.29
Apsis Aerocom,,APSISAERO,INE1OOJ01011,Aerospace & Defense,Aerospace & Defense,185.90,,,,,,,,80.21,80.21,80.21,80.21,,,,,,,0.00,,50.64,,,,2.48,2.48,2.48,2.48,,,,,-69.46,,,0,224.05,0.17
Aptech,532475,APTECHT,INE266F01018,Other Consumer Services,Education,76.50,1.39,0.88,3.88,0.51,14.26,21.37,22.73,22.54,19.08,15.73,13.39,12.65,8.73,10.91,12.06,12.41,103401.00,87.79,118.46,37.60,124.70,10.48,9.87,32.58,36.54,33.32,31.73,1408.01,336.37,1033.76,229.97,79.75,-7.42,-0.02,1,443.72,0.06
Aptus Pharma,544529,,INE15XJ01010,Pharmaceuticals & Biotechnology,Pharmaceuticals,329.30,,,,,,,,32.34,32.34,32.34,32.34,,,,,,,0.00,,71.83,,,,26.69,26.69,26.69,26.69,,,,,51.81,,,0,225.90,0.37
