Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Inventory turnover ratio 3Years back,Inventory turnover ratio 5Years back,Inventory turnover ratio 7Years back,Inventory turnover ratio 10Years back,Exports percentage 3Years back,Average 5years dividend,Exports percentage 5Years back,Average return on capital employed 3Years,Average return on capital employed 5Years,Average return on capital employed 7Years,Average return on capital employed 10Years,Average return on equity 7Years,Return on equity 5years growth,Average return on equity 10Years,OPM 5Year,OPM 10Year,Number of Shareholders 1year back,Average dividend payout 3years,Debtor days 3years back,Average debtor days 3years,Debtor days 5years back,Return on assets 5years,Return on assets 3years,Historical PE 3Years,Historical PE 10Years,Historical PE 5Years,Historical PE 7Years,Market Capitalization 3years back,Market Capitalization 5years back,Market Capitalization 7years back,Market Capitalization 10years back,Average Working Capital Days 3years,Change in FII holding 3Years,Change in DII holding 3Years,Is not SME,Market Capitalization,Debt to equity
Clean Science,543318,CLEAN,INE227W01023,Chemicals & Petrochemicals,Specialty Chemicals,691.50,4.08,3.65,6.18,1.71,70.18,94.01,67.86,34.68,42.24,47.05,46.81,30.23,-13.60,30.39,44.21,42.38,246798.00,20.26,81.83,68.34,60.79,26.69,22.72,51.86,55.93,55.93,55.93,21163.07,,,,74.18,6.02,15.11,1,7349.06,0.00
CMS Info Systems,543441,CMSINFO,INE925R01014,Commercial Services & Supplies,Diversified Commercial Services,277.45,2.16,2.84,,,,76.89,,26.72,26.97,26.67,26.67,18.19,0.39,,25.87,,174847.00,31.19,114.65,112.96,88.26,13.16,13.86,18.69,18.93,18.93,18.93,4057.78,,,,56.64,15.74,20.47,1,4567.89,0.10
Coal India,533278,COALINDIA,INE522F01014,Consumable Fuels,Coal,455.85,0.63,0.06,0.55,1.06,,13465.57,,63.06,57.68,66.82,61.56,49.41,-7.37,46.23,29.16,25.36,2223442.00,45.08,37.82,33.44,54.74,12.95,15.46,7.11,7.32,6.99,6.77,112808.74,86309.01,175855.90,229220.86,0.11,0.36,1.35,1,280927.97,0.13
Cochin Shipyard,540678,COCHINSHIP,INE704P01025,Industrial Manufacturing,Ship Building & Allied Services,1304.95,4.46,3.33,5.06,3.98,0.72,232.17,2.53,16.88,17.88,19.50,20.87,14.53,-2.52,14.80,20.63,20.28,981567.00,42.94,49.96,33.20,30.74,6.74,5.80,48.49,11.83,34.98,10.85,3870.20,3503.97,6829.58,,-218.70,-4.13,2.60,1,34330.75,0.18
Coforge,532541,COFORGE,INE591G01025,IT - Software,Computers - Software & Consulting,1082.80,,,312.00,12.67,89.36,352.92,87.71,26.78,27.43,27.66,26.43,21.18,-4.17,20.35,15.70,16.17,137170.00,59.03,78.84,74.87,74.72,14.11,13.17,51.82,31.79,47.98,39.84,27146.17,7173.44,5316.29,2132.13,20.22,13.23,26.94,1,36358.53,0.14
Cohance Life,543064,COHANCE,INE03QK01018,Pharmaceuticals & Biotechnology,Pharmaceuticals,298.45,1.89,1.84,,,96.65,66.20,95.73,22.05,29.48,32.87,32.87,23.07,-22.00,,40.21,,84210.00,12.38,65.35,54.44,51.31,18.84,14.20,45.59,34.66,35.44,34.66,15743.57,2559.49,,,96.26,-2.10,10.21,1,11417.74,0.12
Colab Platforms,542866,,INE317W01030,Finance,Other Financial Services,167.85,,,,,0.00,0.00,0.00,11.58,7.70,5.46,9.39,7.83,35.74,8.38,9.32,9.90,6725.00,0.00,280.77,157.75,2534.14,5.96,9.03,92.25,80.11,80.11,80.11,11.16,6.00,,,89.65,0.13,0.00,1,3424.14,0.00
Colgate-Palmoliv,500830,COLPAL,INE259A01022,Personal Products,Personal Care,1859.20,4.94,5.03,6.75,5.57,4.63,1229.44,3.73,93.76,93.06,86.22,84.49,67.55,8.62,64.33,31.55,29.05,265337.00,105.68,16.08,11.81,10.69,40.32,42.24,48.17,45.27,44.53,45.14,41946.98,34071.64,28746.16,27394.48,-38.17,-5.93,5.95,1,50567.57,0.04
Committed Cargo,,COMMITTED,INE597Z01014,Transport Services,Logistics Solution Provider,244.25,,,,,,0.22,,18.31,18.24,17.25,17.25,12.21,4.45,,4.36,,1312.00,6.68,56.89,70.30,80.66,9.74,10.25,15.45,15.45,15.45,15.45,,,,,63.58,,,0,282.71,0.06
Concord Biotech,543960,CONCORDBIO,INE338H01029,Pharmaceuticals & Biotechnology,Pharmaceuticals,1067.95,1.35,1.14,1.77,1.82,47.58,51.87,40.95,27.34,27.12,26.59,27.84,20.47,0.47,,42.84,,82004.00,28.19,118.86,133.75,130.74,17.94,18.02,52.10,52.10,52.10,52.10,,,,,170.54,,,1,11172.48,0.00
